,F_fraction_x,F_fraction_y,comp,density,e_above_hull_x,e_above_hull_y,elements_hash,elements_x,elements_y,final_energy_per_atom_x,final_energy_per_atom_y,plotlabel,plotlabel_y,pretty_formula,pretty_formula_2,spacegroup,spacegroup_y,unit_cell_formula_x,unit_cell_formula_y,volume_x,volume_y,source,molmass,mAh/g,Wh/L,n_cc,n_total,n_diff,correction,voltage,volume_change,Wh/kg,label
11,6.0,5.0,1.0,4.496786204188197,0.0,0.0,5.615897393503792e+18,['Os'],['Os'],-4.883429038571428,-5.123930873958334,$\mathsf{OsF_{6}}$,$\mathsf{OsF_{5}}$,OsF6,OsF5,Pnma,P2_1/c,"{'Os': 4.0, 'F': 24.0}","{'Os': 8.0, 'F': 40.0}",112.34020653873333,92.99822896063665,Calculated,304.220418978,88.09889829235352,907.1455166536838,1.0,7.0,6.0,1.0,2.2898352737499934,20.7982214223494,201.73196488834415,OsF6/OsF5
12,4.0,3.0,1.0,4.605237807660801,0.0,0.0,9.045938890396068e+18,['Ce'],['Ce'],-6.406528403333334,-6.878643165833334,$\mathsf{CeF_{4}}$,$\mathsf{CeF_{3}}$,CeF4,CeF3,C2/c,P-3c1,"{'Ce': 6.0, 'F': 24.0}","{'Ce': 6.0, 'F': 18.0}",77.92397911031637,54.52859187192859,Calculated,216.109612652,124.01800836669983,1923.2807748880737,1.0,5.0,4.0,1.0,3.3674866008333346,42.90480724926213,417.6289814368981,CeF4/CeF3
13,6.0,4.0,1.0,2.389082423106877,0.0,0.0,5.395802796062468e+18,['Cr'],['Cr'],-4.401603642857142,-5.29897208175,$\mathsf{CrF_{6}}$,$\mathsf{CrF_{4}}$,CrF6,CrF4,R-3,C2/c,"{'Cr': 1.0, 'F': 6.0}","{'Cr': 8.0, 'F': 32.0}",115.36943932730134,68.82130432770526,Calculated,165.986518978,322.93566869189283,777.3833217248617,2.0,7.0,5.0,1.0,1.0075997931249976,67.63622900540884,325.389912966634,CrF6/CrF4
14,6.0,2.0,1.0,2.389082423106877,0.0,0.0,5.395802796062468e+18,['Cr'],['Cr'],-4.401603642857142,-6.342134293333333,$\mathsf{CrF_{6}}$,$\mathsf{CrF_{2}}$,CrF6,CrF2,R-3,P2_1/c,"{'Cr': 1.0, 'F': 6.0}","{'Cr': 2.0, 'F': 4.0}",115.36943932730134,41.378427810916925,Calculated,165.986518978,645.8713373837857,2770.7177116054054,4.0,7.0,3.0,1.0,1.795622902499999,178.81542492260488,1159.7413654746292,CrF6/CrF2
15,6.0,5.0,1.0,2.389082423106877,0.0,0.0,5.395802796062468e+18,['Cr'],['Cr'],-4.401603642857142,-4.79534155125,$\mathsf{CrF_{6}}$,$\mathsf{CrF_{5}}$,CrF6,CrF5,R-3,Pbcm,"{'Cr': 1.0, 'F': 6.0}","{'Cr': 4.0, 'F': 20.0}",115.36943932730134,85.87730996827855,Calculated,165.986518978,161.46783434594641,342.78377425412265,1.0,7.0,6.0,1.0,0.8885934399999975,34.34216718003465,143.47925837081428,CrF6/CrF5
16,6.0,3.0,1.0,2.389082423106877,0.0,0.0,5.395802796062468e+18,['Cr'],['Cr'],-4.401603642857142,-6.04241159,$\mathsf{CrF_{6}}$,$\mathsf{CrF_{3}}$,CrF6,CrF3,R-3,R-3c,"{'Cr': 1.0, 'F': 6.0}","{'Cr': 2.0, 'F': 6.0}",115.36943932730134,50.73959745301751,Calculated,165.986518978,484.4035030378393,1230.509049375505,3.0,7.0,4.0,1.0,1.0632769608333312,127.3755510853787,515.0550845270931,CrF6/CrF3
17,2.5,0.5,1.0,4.788209400916156,0.0,0.0,-2.8554850198411935e+18,['Ag'],['Ag'],-3.2368841846428573,-3.228040733333333,$\mathsf{Ag_{2}F_{5}}$,$\mathsf{Ag_{2}F}$,Ag2F5,Ag2F,P-1,P-3m1,"{'Ag': 8.0, 'F': 20.0}","{'Ag': 2.0, 'F': 1.0}",107.75983894355407,46.90750569311374,Calculated,310.728415815,345.0149054402148,3457.534565276851,4.0,7.0,3.0,1.0,2.0929340206250004,129.72835018889901,722.0934332185432,Ag2F5/Ag2F
18,2.5,2.0,1.0,4.788209400916156,0.0,0.0,-2.8554850198411935e+18,['Ag'],['Ag'],-3.2368841846428573,-3.3499387683333333,$\mathsf{Ag_{2}F_{5}}$,$\mathsf{AgF_{2}}$,Ag2F5,AgF2,P-1,P2_1/c,"{'Ag': 8.0, 'F': 20.0}","{'Ag': 2.0, 'F': 4.0}",107.75983894355407,47.8502666833605,Calculated,310.728415815,86.2537263600537,581.4945050835805,1.0,7.0,6.0,2.0,1.4079739300000007,125.2021700456407,121.44299808030947,Ag2F5/AgF2
19,2.5,1.0,1.0,4.788209400916156,0.0,0.0,-2.8554850198411935e+18,['Ag'],['Ag'],-3.2368841846428573,-3.375058845,$\mathsf{Ag_{2}F_{5}}$,$\mathsf{AgF}$,Ag2F5,AgF,P-1,Fm-3m,"{'Ag': 8.0, 'F': 20.0}","{'Ag': 1.0, 'F': 1.0}",107.75983894355407,31.802524744424137,Calculated,310.728415815,258.7611790801611,2356.668090622497,3.0,7.0,4.0,2.0,1.902068551666667,238.84051599534519,492.18150112056117,Ag2F5/AgF
20,4.0,3.0,1.0,4.346980368579236,0.0,0.0,-1.9707803286752696e+18,['Ru'],['Ru'],-4.944802923999999,-5.29536720875,$\mathsf{RuF_{4}}$,$\mathsf{RuF_{3}}$,RuF4,RuF3,P2_1/c,R-3c,"{'Ru': 2.0, 'F': 8.0}","{'Ru': 2.0, 'F': 6.0}",67.63799727575797,52.03984240888259,Calculated,177.063612652,151.36641204014916,1573.8801531412944,1.0,5.0,4.0,1.0,2.391963032499998,29.973485976992414,362.06286196219935,RuF4/RuF3
